"","Current (A)","CosPhi (Units)","Energy Consumption (kWh)","Reactive Energy (VARh)","Voltage (V)"
"2024-06-03 13:00:00","40.71782","0.98192","7.63634","4010.78136","219.09769"
"2024-06-03 14:00:00","28.60443","0.9854","5.76212","3010.78131","218.19023"
"2024-06-03 15:00:00","6.08558","0.99283","1.3897","885.78126","218.92877"
"2024-06-03 16:00:00","8.47712","0.99185","1.26418","1010.78128","220.3013"
"2024-06-03 17:00:00","2.74436","0.99914","0.76495","385.78126","221.00122"
"2024-06-03 18:00:00","16.18515","0.98621","2.51341","1760.78129","222.13042"
"2024-06-03 19:00:00","16.66626","0.9749","2.63789","1885.78124","222.53861"
"2024-06-03 20:00:00","22.75297","0.98072","3.51238","2635.7813","221.42007"
"2024-06-03 21:00:00","27.08059","0.96102","5.38557","3635.78131","221.44005"
"2024-06-03 22:00:00","40.03621","0.96124","6.00967","4385.69149","223.6917"
"2024-06-03 23:00:00","60.03547","0.93358","8.13209","6135.8712","222.58381"
"2024-06-04 00:00:00","24.06299","0.97364","4.88583","3385.78132","223.25363"
"2024-06-04 01:00:00","29.05336","0.97217","5.5116","4010.78132","222.95787"
"2024-06-04 02:00:00","34.71812","0.97135","5.38634","3760.7813","221.69307"
"2024-06-04 03:00:00","21.36054","0.97271","4.76096","3135.69143","222.06122"
"2024-06-04 04:00:00","29.18867","0.96783","4.51031","3260.7813","221.71624"
"2024-06-04 05:00:00","41.95656","0.9602","7.63377","5135.78132","222.79833"
"2024-06-04 06:00:00","0","1","0.01547","10.78125","219.96726"
"2024-06-04 07:00:00","32.5352","0.98141","6.2616","3385.78134","218.86018"
"2024-06-04 08:00:00","3.68985","0.99684","0.38995","385.78126","218.70431"
"2024-06-04 09:00:00","2.36467","0.99626","0.51495","385.78126","219.64754"
"2024-06-04 10:00:00","10.69014","0.98898","1.51341","1135.78125","219.97917"
"2024-06-04 11:00:00","113.23105","0.94741","21.87848","11260.87133","219.66342"
"2024-06-04 12:00:00","5.42037","0.99519","1.13931","760.69142","220.98907"
"2024-06-04 13:00:00","0","1","0.01547","10.78125","221.1072"
"2024-06-04 14:00:00","16.03841","0.98656","2.88841","1760.7813","219.20345"
"2024-06-04 15:00:00","2.55271","0.99639","0.64021","510.78126","221.56922"
